CSDUID,CSD,Period,IndicatorSummaryDescription,Structural Type,UnitOfMeasure,OriginalValue
4817824,Utikoomak Lake 155,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4817825,Clear Hills 152C,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4817827,Utikoomak Lake 155A,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4817827,Utikoomak Lake 155A,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4817827,Utikoomak Lake 155A,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4817827,Utikoomak Lake 155A,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4817827,Utikoomak Lake 155A,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4817828,Drift Pile River 150,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4817828,Drift Pile River 150,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,20
4817828,Drift Pile River 150,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4817828,Drift Pile River 150,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4817828,Drift Pile River 150,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4810031,Innisfree,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4810031,Innisfree,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4810031,Innisfree,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,5
4810031,Innisfree,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4810031,Innisfree,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811004,Grandview,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811004,Grandview,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811004,Grandview,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811004,Grandview,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811004,Grandview,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811005,Poplar Bay,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811005,Poplar Bay,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811005,Poplar Bay,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811005,Poplar Bay,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811005,Poplar Bay,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811006,Crystal Springs,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811006,Crystal Springs,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811006,Crystal Springs,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811007,Norris Beach,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4811007,Norris Beach,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4810042,Vermilion,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,180
4810042,Vermilion,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,210
4810042,Vermilion,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,215
4810042,Vermilion,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,190
4810042,Vermilion,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,190
4812811,Kehewin 123,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4812811,Kehewin 123,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4812811,Kehewin 123,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4812811,Kehewin 123,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4812813,Cold Lake 149A,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4812813,Cold Lake 149A,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4812813,Cold Lake 149A,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4812813,Cold Lake 149A,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4813811,Alexis 133,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4813811,Alexis 133,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4813811,Alexis 133,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4813811,Alexis 133,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4813811,Alexis 133,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,0
4814003,Yellowhead County,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,45
4814003,Yellowhead County,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,65
4814003,Yellowhead County,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,45
4814003,Yellowhead County,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,100
4814003,Yellowhead County,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,45
4814019,Hinton,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,370
4814019,Hinton,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,390
4814019,Hinton,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,425
4814019,Hinton,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,505
4814019,Hinton,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,565
4814024,Edson,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,475
4814024,Edson,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,495
4814024,Edson,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,650
4814024,Edson,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,585
4814024,Edson,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,600
4811064,Gibbons,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,35
4811064,Gibbons,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,30
4811064,Gibbons,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,35
4811064,Gibbons,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,60
4811064,Gibbons,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,90
4811065,Redwater,2001,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,50
4811065,Redwater,2006,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,95
4811065,Redwater,2011,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,35
4811065,Redwater,2016,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,25
4811065,Redwater,2021,Private Households by Structural Type,"Apartment, building that has fewer than five storeys",,50
4807044,Sedgewick,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807044,Sedgewick,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807044,Sedgewick,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807044,Sedgewick,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807044,Sedgewick,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807046,Lougheed,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807046,Lougheed,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807046,Lougheed,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807046,Lougheed,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807046,Lougheed,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808011,Red Deer,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,755
4808011,Red Deer,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,610
4808011,Red Deer,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,555
4808011,Red Deer,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,590
4808011,Red Deer,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,590
4805018,Strathmore,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805018,Strathmore,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805018,Strathmore,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805018,Strathmore,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805018,Strathmore,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805019,Hussar,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805019,Hussar,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805019,Hussar,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805019,Hussar,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805019,Hussar,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805021,Standard,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,5
4805021,Standard,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805021,Standard,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805021,Standard,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805021,Standard,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805022,Rockyford,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805022,Rockyford,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805022,Rockyford,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805022,Rockyford,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805022,Rockyford,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805026,Drumheller,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,40
4805026,Drumheller,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805026,Drumheller,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805026,Drumheller,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,5
4805026,Drumheller,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805031,Starland County,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805031,Starland County,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805031,Starland County,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805031,Starland County,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805031,Starland County,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805034,Delia,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805034,Delia,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805034,Delia,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805034,Delia,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805034,Delia,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805036,Munson,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805036,Munson,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805036,Munson,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805036,Munson,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805036,Munson,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805038,Morrin,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805038,Morrin,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805038,Morrin,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805038,Morrin,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805038,Morrin,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805041,Kneehill County,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805041,Kneehill County,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805041,Kneehill County,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805041,Kneehill County,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805041,Kneehill County,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805042,Carbon,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805042,Carbon,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805042,Carbon,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805042,Carbon,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805042,Carbon,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808012,Sylvan Lake,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808012,Sylvan Lake,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,10
4808012,Sylvan Lake,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808012,Sylvan Lake,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,15
4808012,Sylvan Lake,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,135
4808013,Norglenwold,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808013,Norglenwold,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808013,Norglenwold,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808013,Norglenwold,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808013,Norglenwold,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801009,Foremost,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801009,Foremost,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801009,Foremost,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801009,Foremost,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801009,Foremost,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801014,Bow Island,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801014,Bow Island,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801014,Bow Island,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801014,Bow Island,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801014,Bow Island,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801018,Redcliff,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801018,Redcliff,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801018,Redcliff,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801018,Redcliff,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4801018,Redcliff,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802001,Warner County No. 5,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802001,Warner County No. 5,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802001,Warner County No. 5,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802001,Warner County No. 5,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802001,Warner County No. 5,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802002,Coutts,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802002,Coutts,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802002,Coutts,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802002,Coutts,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802002,Coutts,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802004,Milk River,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802004,Milk River,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802004,Milk River,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802004,Milk River,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802004,Milk River,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802006,Warner,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802006,Warner,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802006,Warner,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802006,Warner,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4802006,Warner,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807048,Hardisty,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807048,Hardisty,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807048,Hardisty,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807048,Hardisty,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807048,Hardisty,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807049,Wainwright No. 61,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807049,Wainwright No. 61,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807049,Wainwright No. 61,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807049,Wainwright No. 61,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807049,Wainwright No. 61,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807051,Chauvin,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807051,Chauvin,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807051,Chauvin,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807051,Chauvin,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807051,Chauvin,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807052,Edgerton,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807052,Edgerton,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807052,Edgerton,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807052,Edgerton,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807052,Edgerton,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807054,Wainwright,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807054,Wainwright,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,10
4807054,Wainwright,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,5
4807054,Wainwright,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807054,Wainwright,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807056,Irma,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807056,Irma,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807056,Irma,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807056,Irma,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807056,Irma,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808001,Red Deer County,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808001,Red Deer County,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,10
4808001,Red Deer County,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,5
4808001,Red Deer County,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808001,Red Deer County,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808002,Elnora,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808002,Elnora,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808002,Elnora,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808002,Elnora,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808002,Elnora,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805009,Milo,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805009,Milo,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805009,Milo,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805009,Milo,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805009,Milo,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805011,Arrowwood,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805011,Arrowwood,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805011,Arrowwood,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805011,Arrowwood,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805011,Arrowwood,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805012,Wheatland County,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805012,Wheatland County,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805012,Wheatland County,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805012,Wheatland County,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805012,Wheatland County,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807019,Stettler County No. 6,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807019,Stettler County No. 6,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807019,Stettler County No. 6,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807019,Stettler County No. 6,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807019,Stettler County No. 6,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807021,Big Valley,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807021,Big Valley,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807021,Big Valley,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807021,Big Valley,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807021,Big Valley,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807022,Gadsby,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807022,Gadsby,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807024,Botha,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807024,Botha,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807024,Botha,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807024,Botha,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807026,Stettler,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807026,Stettler,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807026,Stettler,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807026,Stettler,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4807026,Stettler,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805044,Acme,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805044,Acme,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805044,Acme,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805044,Acme,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805044,Acme,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805046,Linden,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805046,Linden,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805046,Linden,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805046,Linden,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4805046,Linden,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808022,Lacombe County,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808022,Lacombe County,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808022,Lacombe County,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808022,Lacombe County,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808022,Lacombe County,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808023,Birchcliff,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808023,Birchcliff,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808023,Birchcliff,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808023,Birchcliff,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808023,Birchcliff,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808004,Delburne,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808004,Delburne,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808004,Delburne,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808004,Delburne,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808004,Delburne,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808005,Jarvis Bay,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808005,Jarvis Bay,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808005,Jarvis Bay,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808005,Jarvis Bay,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808005,Jarvis Bay,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808006,Bowden,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,15
4808006,Bowden,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808006,Bowden,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808006,Bowden,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808006,Bowden,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808008,Innisfail,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,10
4808008,Innisfail,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808008,Innisfail,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808008,Innisfail,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808008,Innisfail,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808009,Penhold,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808009,Penhold,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808009,Penhold,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808009,Penhold,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808009,Penhold,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808024,Eckville,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808024,Eckville,2006,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808024,Eckville,2011,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808024,Eckville,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808024,Eckville,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808025,Half Moon Bay,2016,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808025,Half Moon Bay,2021,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
4808026,Bentley,2001,Private Households by Structural Type,"Apartment, building that has five or more storeys",,0
