CSDUID,CSD,Period,IndicatorSummaryDescription,Crop Type,UnitOfMeasure,OriginalValue
4813029,Woodlands County,2021,Cropland (Acres),Canola,Acres,7623.00000
4813018,Barrhead County No. 11,2006,Cropland (Acres),Canola,Acres,44370.00000
4813018,Barrhead County No. 11,2011,Cropland (Acres),Canola,Acres,88349.00000
4813018,Barrhead County No. 11,2016,Cropland (Acres),Canola,Acres,92394.00000
4813018,Barrhead County No. 11,2021,Cropland (Acres),Canola,Acres,102016.00000
4810016,Beaver County,2006,Cropland (Acres),Canola,Acres,121568.00000
4810016,Beaver County,2011,Cropland (Acres),Canola,Acres,160492.00000
4810016,Beaver County,2016,Cropland (Acres),Canola,Acres,164325.00000
4810016,Beaver County,2021,Cropland (Acres),Canola,Acres,158051.00000
4801008,Forty Mile County No. 8,2006,Cropland (Acres),Canola,Acres,20058.00000
4801008,Forty Mile County No. 8,2011,Cropland (Acres),Canola,Acres,92867.00000
4801008,Forty Mile County No. 8,2016,Cropland (Acres),Canola,Acres,77825.00000
4801008,Forty Mile County No. 8,2021,Cropland (Acres),Canola,Acres,109254.00000
4801003,Cypress County,2006,Cropland (Acres),Canola,Acres,28149.00000
4801003,Cypress County,2011,Cropland (Acres),Canola,Acres,53525.00000
4801003,Cypress County,2016,Cropland (Acres),Canola,Acres,37417.00000
4801003,Cypress County,2021,Cropland (Acres),Canola,Acres,57420.00000
4803018,Willow Creek No. 26,2006,Cropland (Acres),Canola,Acres,31953.00000
4803018,Willow Creek No. 26,2011,Cropland (Acres),Canola,Acres,74444.00000
4803018,Willow Creek No. 26,2016,Cropland (Acres),Canola,Acres,75372.00000
4803018,Willow Creek No. 26,2021,Cropland (Acres),Canola,Acres,111185.00000
4802011,Lethbridge County,2006,Cropland (Acres),Canola,Acres,37080.00000
4802011,Lethbridge County,2011,Cropland (Acres),Canola,Acres,101032.00000
4802011,Lethbridge County,2016,Cropland (Acres),Canola,Acres,90475.00000
4802011,Lethbridge County,2021,Cropland (Acres),Canola,Acres,161325.00000
4802021,"Taber, M.D.",2006,Cropland (Acres),Canola,Acres,43256.00000
4802021,"Taber, M.D.",2011,Cropland (Acres),Canola,Acres,105556.00000
4802021,"Taber, M.D.",2016,Cropland (Acres),Canola,Acres,80062.00000
4802021,"Taber, M.D.",2021,Cropland (Acres),Canola,Acres,82418.00000
4803011,Pincher Creek No. 9,2006,Cropland (Acres),Canola,Acres,2812.00000
4803011,Pincher Creek No. 9,2011,Cropland (Acres),Canola,Acres,31255.00000
4803011,Pincher Creek No. 9,2016,Cropland (Acres),Canola,Acres
4803011,Pincher Creek No. 9,2021,Cropland (Acres),Canola,Acres,20369.00000
4804004,Special Area No. 2,2006,Cropland (Acres),Canola,Acres,7239.00000
4804004,Special Area No. 2,2011,Cropland (Acres),Canola,Acres,25072.00000
4804004,Special Area No. 2,2016,Cropland (Acres),Canola,Acres,30642.00000
4804004,Special Area No. 2,2021,Cropland (Acres),Canola,Acres,45242.00000
4804012,Special Area No. 3,2006,Cropland (Acres),Canola,Acres,18099.00000
4804012,Special Area No. 3,2011,Cropland (Acres),Canola,Acres,32161.00000
4804012,Special Area No. 3,2016,Cropland (Acres),Canola,Acres,33974.00000
4804012,Special Area No. 3,2021,Cropland (Acres),Canola,Acres,71018.00000
4804020,Special Area No. 4,2006,Cropland (Acres),Canola,Acres,24763.00000
4804020,Special Area No. 4,2011,Cropland (Acres),Canola,Acres,43868.00000
4804020,Special Area No. 4,2016,Cropland (Acres),Canola,Acres,50934.00000
4804020,Special Area No. 4,2021,Cropland (Acres),Canola,Acres,53307.00000
4805001,Vulcan County,2006,Cropland (Acres),Canola,Acres,117104.00000
4805001,Vulcan County,2011,Cropland (Acres),Canola,Acres,217742.00000
4805001,Vulcan County,2016,Cropland (Acres),Canola,Acres,235810.00000
4805001,Vulcan County,2021,Cropland (Acres),Canola,Acres,210331.00000
4806001,Foothills County,2006,Cropland (Acres),Canola,Acres,44092.00000
4806001,Foothills County,2011,Cropland (Acres),Canola,Acres,84760.00000
4806001,Foothills County,2016,Cropland (Acres),Canola,Acres,62144.00000
4806001,Foothills County,2021,Cropland (Acres),Canola,Acres,77020.00000
4806014,Rocky View County,2006,Cropland (Acres),Canola,Acres,74715.00000
4806014,Rocky View County,2011,Cropland (Acres),Canola,Acres,112343.00000
4806014,Rocky View County,2016,Cropland (Acres),Canola,Acres,106393.00000
4806014,Rocky View County,2021,Cropland (Acres),Canola,Acres,134094.00000
4806016,Calgary,2006,Cropland (Acres),Canola,Acres,10007.00000
4806016,Calgary,2011,Cropland (Acres),Canola,Acres
4806016,Calgary,2016,Cropland (Acres),Canola,Acres,10837.00000
4806016,Calgary,2021,Cropland (Acres),Canola,Acres,11083.00000
4806028,Mountain View County,2006,Cropland (Acres),Canola,Acres,64664.00000
4806028,Mountain View County,2011,Cropland (Acres),Canola,Acres,98166.00000
4806028,Mountain View County,2016,Cropland (Acres),Canola,Acres,101016.00000
4806028,Mountain View County,2021,Cropland (Acres),Canola,Acres,126547.00000
4807001,Provost No. 52,2006,Cropland (Acres),Canola,Acres,44704.00000
4807001,Provost No. 52,2011,Cropland (Acres),Canola,Acres,84615.00000
4807001,Provost No. 52,2016,Cropland (Acres),Canola,Acres,91104.00000
4807001,Provost No. 52,2021,Cropland (Acres),Canola,Acres,98530.00000
4819041,Smoky River No. 130,2006,Cropland (Acres),Canola,Acres,188904.00000
4819041,Smoky River No. 130,2011,Cropland (Acres),Canola,Acres,242057.00000
4819041,Smoky River No. 130,2016,Cropland (Acres),Canola,Acres,259729.00000
4819041,Smoky River No. 130,2021,Cropland (Acres),Canola,Acres,241574.00000
4810036,Vermilion River County,2006,Cropland (Acres),Canola,Acres,171363.00000
4810036,Vermilion River County,2011,Cropland (Acres),Canola,Acres,240382.00000
4810036,Vermilion River County,2016,Cropland (Acres),Canola,Acres,255773.00000
4810036,Vermilion River County,2021,Cropland (Acres),Canola,Acres,293676.00000
4817026,Northern Sunrise County,2006,Cropland (Acres),Canola,Acres,55969.00000
4817026,Northern Sunrise County,2011,Cropland (Acres),Canola,Acres,61622.00000
4817026,Northern Sunrise County,2016,Cropland (Acres),Canola,Acres,71533.00000
4817026,Northern Sunrise County,2021,Cropland (Acres),Canola,Acres,83029.00000
4817027,Big Lakes County,2006,Cropland (Acres),Canola,Acres,17631.00000
4817027,Big Lakes County,2011,Cropland (Acres),Canola,Acres,43606.00000
4817027,Big Lakes County,2016,Cropland (Acres),Canola,Acres,38843.00000
4817027,Big Lakes County,2021,Cropland (Acres),Canola,Acres,32819.00000
4813001,Lac Ste. Anne County,2006,Cropland (Acres),Canola,Acres,11292.00000
4813001,Lac Ste. Anne County,2011,Cropland (Acres),Canola,Acres,33114.00000
4813001,Lac Ste. Anne County,2016,Cropland (Acres),Canola,Acres,27263.00000
4813001,Lac Ste. Anne County,2021,Cropland (Acres),Canola,Acres,36869.00000
4819049,Birch Hills County,2006,Cropland (Acres),Canola,Acres,112608.00000
4819049,Birch Hills County,2011,Cropland (Acres),Canola,Acres,148882.00000
4819049,Birch Hills County,2016,Cropland (Acres),Canola,Acres,149018.00000
4819049,Birch Hills County,2021,Cropland (Acres),Canola,Acres,125448.00000
4819054,Spirit River No. 133,2006,Cropland (Acres),Canola,Acres,38067.00000
4819054,Spirit River No. 133,2011,Cropland (Acres),Canola,Acres,22441.00000
4819054,Spirit River No. 133,2016,Cropland (Acres),Canola,Acres,45252.00000
4819054,Spirit River No. 133,2021,Cropland (Acres),Canola,Acres,52530.00000
4819059,Saddle Hills County,2006,Cropland (Acres),Canola,Acres,58541.00000
4819059,Saddle Hills County,2011,Cropland (Acres),Canola,Acres,83799.00000
4819059,Saddle Hills County,2016,Cropland (Acres),Canola,Acres,78833.00000
4819059,Saddle Hills County,2021,Cropland (Acres),Canola,Acres,84463.00000
4819066,Fairview No. 136,2006,Cropland (Acres),Canola,Acres,61853.00000
4819066,Fairview No. 136,2011,Cropland (Acres),Canola,Acres,84072.00000
4819066,Fairview No. 136,2016,Cropland (Acres),Canola,Acres,99265.00000
4819066,Fairview No. 136,2021,Cropland (Acres),Canola,Acres,93164.00000
4811032,Brazeau County,2006,Cropland (Acres),Canola,Acres,943.00000
4811032,Brazeau County,2011,Cropland (Acres),Canola,Acres,1912.00000
4811032,Brazeau County,2016,Cropland (Acres),Canola,Acres,557.00000
4811032,Brazeau County,2021,Cropland (Acres),Canola,Acres,0.00000
4811034,Parkland County,2006,Cropland (Acres),Canola,Acres,31659.00000
4811034,Parkland County,2011,Cropland (Acres),Canola,Acres,36667.00000
4811034,Parkland County,2016,Cropland (Acres),Canola,Acres,35114.00000
4811034,Parkland County,2021,Cropland (Acres),Canola,Acres,41415.00000
4811052,Strathcona County,2006,Cropland (Acres),Canola,Acres,44918.00000
4811052,Strathcona County,2011,Cropland (Acres),Canola,Acres,48540.00000
4811052,Strathcona County,2016,Cropland (Acres),Canola,Acres,52916.00000
4811052,Strathcona County,2021,Cropland (Acres),Canola,Acres,55289.00000
4811059,Sturgeon County,2006,Cropland (Acres),Canola,Acres,111367.00000
4811059,Sturgeon County,2011,Cropland (Acres),Canola,Acres,130518.00000
4811059,Sturgeon County,2016,Cropland (Acres),Canola,Acres,129182.00000
4811059,Sturgeon County,2021,Cropland (Acres),Canola,Acres,137900.00000
4817095,Mackenzie County,2006,Cropland (Acres),Canola,Acres,100564.00000
4817095,Mackenzie County,2011,Cropland (Acres),Canola,Acres,141523.00000
4817095,Mackenzie County,2016,Cropland (Acres),Canola,Acres,118761.00000
4817095,Mackenzie County,2021,Cropland (Acres),Canola,Acres,155488.00000
4817062,Clear Hills,2006,Cropland (Acres),Canola,Acres,55288.00000
4817062,Clear Hills,2011,Cropland (Acres),Canola,Acres,60658.00000
4817062,Clear Hills,2016,Cropland (Acres),Canola,Acres,43061.00000
4817062,Clear Hills,2021,Cropland (Acres),Canola,Acres,69142.00000
4818015,Greenview No. 16,2006,Cropland (Acres),Canola,Acres,38958.00000
4818015,Greenview No. 16,2011,Cropland (Acres),Canola,Acres,58023.00000
4818015,Greenview No. 16,2016,Cropland (Acres),Canola,Acres,79474.00000
4818015,Greenview No. 16,2021,Cropland (Acres),Canola,Acres,57017.00000
4819006,Grande Prairie County No. 1,2006,Cropland (Acres),Canola,Acres,122493.00000
4819006,Grande Prairie County No. 1,2011,Cropland (Acres),Canola,Acres,131961.00000
4819006,Grande Prairie County No. 1,2016,Cropland (Acres),Canola,Acres,156661.00000
4819006,Grande Prairie County No. 1,2021,Cropland (Acres),Canola,Acres,164676.00000
4812004,Bonnyville No. 87,2006,Cropland (Acres),Canola,Acres,23265.00000
4812004,Bonnyville No. 87,2011,Cropland (Acres),Canola,Acres,42233.00000
4812004,Bonnyville No. 87,2016,Cropland (Acres),Canola,Acres,37579.00000
4812004,Bonnyville No. 87,2021,Cropland (Acres),Canola,Acres,45705.00000
4812014,St. Paul County No. 19,2006,Cropland (Acres),Canola,Acres,46355.00000
4812014,St. Paul County No. 19,2011,Cropland (Acres),Canola,Acres,71989.00000
4812014,St. Paul County No. 19,2016,Cropland (Acres),Canola,Acres,63380.00000
4812014,St. Paul County No. 19,2021,Cropland (Acres),Canola,Acres,77954.00000
4812022,Smoky Lake County,2006,Cropland (Acres),Canola,Acres,48063.00000
4812022,Smoky Lake County,2011,Cropland (Acres),Canola,Acres,60132.00000
4812022,Smoky Lake County,2016,Cropland (Acres),Canola,Acres,65327.00000
4812022,Smoky Lake County,2021,Cropland (Acres),Canola,Acres,61728.00000
4819071,Peace No. 135,2006,Cropland (Acres),Canola,Acres,33361.00000
4819071,Peace No. 135,2011,Cropland (Acres),Canola,Acres,37768.00000
4819071,Peace No. 135,2016,Cropland (Acres),Canola,Acres,35335.00000
4819071,Peace No. 135,2021,Cropland (Acres),Canola,Acres,41521.00000
4815007,Crowsnest Pass,2006,Cropland (Acres),Canola,Acres,0.00000
4815015,Bighorn No. 8,2006,Cropland (Acres),Canola,Acres,0.00000
4815015,Bighorn No. 8,2011,Cropland (Acres),Canola,Acres
4815015,Bighorn No. 8,2016,Cropland (Acres),Canola,Acres,0.00000
4815015,Bighorn No. 8,2021,Cropland (Acres),Canola,Acres,0.00000
4815037,Improvement District No. 12 Jasper Park,2011,Cropland (Acres),Canola,Acres,0.00000
4815037,Improvement District No. 12 Jasper Park,2016,Cropland (Acres),Canola,Acres,0.00000
4815037,Improvement District No. 12 Jasper Park,2021,Cropland (Acres),Canola,Acres,0.00000
4815045,Ranchland No. 66,2006,Cropland (Acres),Canola,Acres,0.00000
4815045,Ranchland No. 66,2011,Cropland (Acres),Canola,Acres,0.00000
4815045,Ranchland No. 66,2016,Cropland (Acres),Canola,Acres
4815045,Ranchland No. 66,2021,Cropland (Acres),Canola,Acres,0.00000
4816037,Wood Buffalo,2016,Cropland (Acres),Canola,Acres
4816037,Wood Buffalo,2021,Cropland (Acres),Canola,Acres,0.00000
4816051,Improvement District No. 24 Wood Buffalo,2016,Cropland (Acres),Canola,Acres,0.00000
4816051,Improvement District No. 24 Wood Buffalo,2021,Cropland (Acres),Canola,Acres,0.00000
4811012,Leduc County,2006,Cropland (Acres),Canola,Acres,71071.00000
4811012,Leduc County,2011,Cropland (Acres),Canola,Acres,95746.00000
4811012,Leduc County,2016,Cropland (Acres),Canola,Acres,81322.00000
4811012,Leduc County,2021,Cropland (Acres),Canola,Acres,87923.00000
4811001,Wetaskiwin County No. 10,2006,Cropland (Acres),Canola,Acres,73507.00000
4811001,Wetaskiwin County No. 10,2011,Cropland (Acres),Canola,Acres,75921.00000
4811001,Wetaskiwin County No. 10,2016,Cropland (Acres),Canola,Acres,83461.00000
4811001,Wetaskiwin County No. 10,2021,Cropland (Acres),Canola,Acres,85085.00000
4817076,Northern Lights County,2006,Cropland (Acres),Canola,Acres,76673.00000
4817076,Northern Lights County,2011,Cropland (Acres),Canola,Acres,109714.00000
4817076,Northern Lights County,2016,Cropland (Acres),Canola,Acres,109552.00000
4817076,Northern Lights County,2021,Cropland (Acres),Canola,Acres,114506.00000
4813036,Thorhild County,2006,Cropland (Acres),Canola,Acres,35022.00000
4813036,Thorhild County,2011,Cropland (Acres),Canola,Acres,60378.00000
4813036,Thorhild County,2016,Cropland (Acres),Canola,Acres,59559.00000
4813036,Thorhild County,2021,Cropland (Acres),Canola,Acres,60172.00000
4813044,Athabasca County,2006,Cropland (Acres),Canola,Acres,47913.00000
4813044,Athabasca County,2011,Cropland (Acres),Canola,Acres,75721.00000
4813044,Athabasca County,2016,Cropland (Acres),Canola,Acres,68885.00000
4813044,Athabasca County,2021,Cropland (Acres),Canola,Acres,69416.00000
4817033,Lesser Slave River No.124,2006,Cropland (Acres),Canola,Acres,1821.00000
4817033,Lesser Slave River No.124,2011,Cropland (Acres),Canola,Acres,4337.00000
4817033,Lesser Slave River No.124,2016,Cropland (Acres),Canola,Acres,7849.00000
4817033,Lesser Slave River No.124,2021,Cropland (Acres),Canola,Acres,23883.00000
4810058,Lamont County,2006,Cropland (Acres),Canola,Acres,100493.00000
4810058,Lamont County,2011,Cropland (Acres),Canola,Acres,137199.00000
4810058,Lamont County,2016,Cropland (Acres),Canola,Acres,133493.00000
4810058,Lamont County,2021,Cropland (Acres),Canola,Acres,122585.00000
4810048,Two Hills County No. 21,2006,Cropland (Acres),Canola,Acres,78835.00000
4810048,Two Hills County No. 21,2011,Cropland (Acres),Canola,Acres,120846.00000
4810048,Two Hills County No. 21,2016,Cropland (Acres),Canola,Acres,109723.00000
4810048,Two Hills County No. 21,2021,Cropland (Acres),Canola,Acres,112719.00000
4814003,Yellowhead County,2006,Cropland (Acres),Canola,Acres,5907.00000
4814003,Yellowhead County,2011,Cropland (Acres),Canola,Acres,16598.00000
4814003,Yellowhead County,2016,Cropland (Acres),Canola,Acres
4814003,Yellowhead County,2021,Cropland (Acres),Canola,Acres,10810.00000
4805031,Starland County,2006,Cropland (Acres),Durum Wheat,Acres,1360.00000
4805031,Starland County,2011,Cropland (Acres),Durum Wheat,Acres
4805031,Starland County,2016,Cropland (Acres),Durum Wheat,Acres,1380.00000
4805031,Starland County,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4805041,Kneehill County,2006,Cropland (Acres),Durum Wheat,Acres,4926.00000
4805041,Kneehill County,2011,Cropland (Acres),Durum Wheat,Acres
4805041,Kneehill County,2016,Cropland (Acres),Durum Wheat,Acres,6923.00000
4805041,Kneehill County,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4802001,Warner County No. 5,2006,Cropland (Acres),Durum Wheat,Acres,112156.00000
4802001,Warner County No. 5,2011,Cropland (Acres),Durum Wheat,Acres,106717.00000
4802001,Warner County No. 5,2016,Cropland (Acres),Durum Wheat,Acres,182024.00000
4802001,Warner County No. 5,2021,Cropland (Acres),Durum Wheat,Acres,126839.00000
4807049,Wainwright No. 61,2006,Cropland (Acres),Durum Wheat,Acres
4807049,Wainwright No. 61,2011,Cropland (Acres),Durum Wheat,Acres
4807049,Wainwright No. 61,2016,Cropland (Acres),Durum Wheat,Acres
4807049,Wainwright No. 61,2021,Cropland (Acres),Durum Wheat,Acres,5352.00000
4808001,Red Deer County,2006,Cropland (Acres),Durum Wheat,Acres,2130.00000
4808001,Red Deer County,2011,Cropland (Acres),Durum Wheat,Acres,881.00000
4808001,Red Deer County,2016,Cropland (Acres),Durum Wheat,Acres,8236.00000
4808001,Red Deer County,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4805012,Wheatland County,2006,Cropland (Acres),Durum Wheat,Acres,5924.00000
4805012,Wheatland County,2011,Cropland (Acres),Durum Wheat,Acres,818.00000
4805012,Wheatland County,2016,Cropland (Acres),Durum Wheat,Acres,10261.00000
4805012,Wheatland County,2021,Cropland (Acres),Durum Wheat,Acres,20331.00000
4807019,Stettler County No. 6,2006,Cropland (Acres),Durum Wheat,Acres
4807019,Stettler County No. 6,2011,Cropland (Acres),Durum Wheat,Acres,1717.00000
4807019,Stettler County No. 6,2016,Cropland (Acres),Durum Wheat,Acres
4807019,Stettler County No. 6,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4808022,Lacombe County,2006,Cropland (Acres),Durum Wheat,Acres,1091.00000
4808022,Lacombe County,2011,Cropland (Acres),Durum Wheat,Acres,1249.00000
4808022,Lacombe County,2016,Cropland (Acres),Durum Wheat,Acres,7535.00000
4808022,Lacombe County,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4807031,Flagstaff County,2006,Cropland (Acres),Durum Wheat,Acres
4807031,Flagstaff County,2011,Cropland (Acres),Durum Wheat,Acres
4807031,Flagstaff County,2016,Cropland (Acres),Durum Wheat,Acres
4807031,Flagstaff County,2021,Cropland (Acres),Durum Wheat,Acres,7336.00000
4807011,Paintearth County No. 18,2006,Cropland (Acres),Durum Wheat,Acres,1268.00000
4807011,Paintearth County No. 18,2011,Cropland (Acres),Durum Wheat,Acres,1210.00000
4807011,Paintearth County No. 18,2016,Cropland (Acres),Durum Wheat,Acres
4807011,Paintearth County No. 18,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4810001,Camrose County,2006,Cropland (Acres),Durum Wheat,Acres,1128.00000
4810001,Camrose County,2011,Cropland (Acres),Durum Wheat,Acres,4655.00000
4810001,Camrose County,2016,Cropland (Acres),Durum Wheat,Acres
4810001,Camrose County,2021,Cropland (Acres),Durum Wheat,Acres,7399.00000
4811061,Edmonton,2006,Cropland (Acres),Durum Wheat,Acres
4811061,Edmonton,2011,Cropland (Acres),Durum Wheat,Acres
4811061,Edmonton,2016,Cropland (Acres),Durum Wheat,Acres
4811061,Edmonton,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4803001,Cardston County,2006,Cropland (Acres),Durum Wheat,Acres,8898.00000
4803001,Cardston County,2011,Cropland (Acres),Durum Wheat,Acres,7809.00000
4803001,Cardston County,2016,Cropland (Acres),Durum Wheat,Acres,23787.00000
4803001,Cardston County,2021,Cropland (Acres),Durum Wheat,Acres,11654.00000
4802031,Newell County,2006,Cropland (Acres),Durum Wheat,Acres,2365.00000
4802031,Newell County,2011,Cropland (Acres),Durum Wheat,Acres,2519.00000
4802031,Newell County,2016,Cropland (Acres),Durum Wheat,Acres,17640.00000
4802031,Newell County,2021,Cropland (Acres),Durum Wheat,Acres,20666.00000
4808038,Ponoka County,2006,Cropland (Acres),Durum Wheat,Acres
4808038,Ponoka County,2011,Cropland (Acres),Durum Wheat,Acres,1105.00000
4808038,Ponoka County,2016,Cropland (Acres),Durum Wheat,Acres,6894.00000
4808038,Ponoka County,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4812037,Lac la Biche County,2006,Cropland (Acres),Durum Wheat,Acres,0.00000
4812037,Lac la Biche County,2011,Cropland (Acres),Durum Wheat,Acres
4812037,Lac la Biche County,2016,Cropland (Acres),Durum Wheat,Acres
4812037,Lac la Biche County,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4809002,Clearwater County,2006,Cropland (Acres),Durum Wheat,Acres
4809002,Clearwater County,2011,Cropland (Acres),Durum Wheat,Acres,0.00000
4809002,Clearwater County,2016,Cropland (Acres),Durum Wheat,Acres
4809002,Clearwater County,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4810026,Minburn County No. 27,2006,Cropland (Acres),Durum Wheat,Acres
4810026,Minburn County No. 27,2011,Cropland (Acres),Durum Wheat,Acres
4810026,Minburn County No. 27,2016,Cropland (Acres),Durum Wheat,Acres
4810026,Minburn County No. 27,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4813028,Westlock County,2006,Cropland (Acres),Durum Wheat,Acres
4813028,Westlock County,2011,Cropland (Acres),Durum Wheat,Acres
4813028,Westlock County,2016,Cropland (Acres),Durum Wheat,Acres,2913.00000
4813028,Westlock County,2021,Cropland (Acres),Durum Wheat,Acres,3859.00000
4813029,Woodlands County,2006,Cropland (Acres),Durum Wheat,Acres,0.00000
4813029,Woodlands County,2011,Cropland (Acres),Durum Wheat,Acres
4813029,Woodlands County,2016,Cropland (Acres),Durum Wheat,Acres
4813029,Woodlands County,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4813018,Barrhead County No. 11,2006,Cropland (Acres),Durum Wheat,Acres
4813018,Barrhead County No. 11,2011,Cropland (Acres),Durum Wheat,Acres,491.00000
4813018,Barrhead County No. 11,2016,Cropland (Acres),Durum Wheat,Acres,1007.00000
4813018,Barrhead County No. 11,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4810016,Beaver County,2006,Cropland (Acres),Durum Wheat,Acres
4810016,Beaver County,2011,Cropland (Acres),Durum Wheat,Acres
4810016,Beaver County,2016,Cropland (Acres),Durum Wheat,Acres,2227.00000
4810016,Beaver County,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4801008,Forty Mile County No. 8,2006,Cropland (Acres),Durum Wheat,Acres,114052.00000
4801008,Forty Mile County No. 8,2011,Cropland (Acres),Durum Wheat,Acres,118983.00000
4801008,Forty Mile County No. 8,2016,Cropland (Acres),Durum Wheat,Acres,237277.00000
4801008,Forty Mile County No. 8,2021,Cropland (Acres),Durum Wheat,Acres,225065.00000
4801003,Cypress County,2006,Cropland (Acres),Durum Wheat,Acres,38536.00000
4801003,Cypress County,2011,Cropland (Acres),Durum Wheat,Acres,29400.00000
4801003,Cypress County,2016,Cropland (Acres),Durum Wheat,Acres,68672.00000
4801003,Cypress County,2021,Cropland (Acres),Durum Wheat,Acres,77476.00000
4803018,Willow Creek No. 26,2006,Cropland (Acres),Durum Wheat,Acres,21233.00000
4803018,Willow Creek No. 26,2011,Cropland (Acres),Durum Wheat,Acres
4803018,Willow Creek No. 26,2016,Cropland (Acres),Durum Wheat,Acres,30403.00000
4803018,Willow Creek No. 26,2021,Cropland (Acres),Durum Wheat,Acres,40064.00000
4802011,Lethbridge County,2006,Cropland (Acres),Durum Wheat,Acres,37379.00000
4802011,Lethbridge County,2011,Cropland (Acres),Durum Wheat,Acres,24539.00000
4802011,Lethbridge County,2016,Cropland (Acres),Durum Wheat,Acres,61816.00000
4802011,Lethbridge County,2021,Cropland (Acres),Durum Wheat,Acres,68058.00000
4802021,"Taber, M.D.",2006,Cropland (Acres),Durum Wheat,Acres,51009.00000
4802021,"Taber, M.D.",2011,Cropland (Acres),Durum Wheat,Acres,52433.00000
4802021,"Taber, M.D.",2016,Cropland (Acres),Durum Wheat,Acres,85866.00000
4802021,"Taber, M.D.",2021,Cropland (Acres),Durum Wheat,Acres,66211.00000
4803011,Pincher Creek No. 9,2006,Cropland (Acres),Durum Wheat,Acres,0.00000
4803011,Pincher Creek No. 9,2011,Cropland (Acres),Durum Wheat,Acres
4803011,Pincher Creek No. 9,2016,Cropland (Acres),Durum Wheat,Acres,0.00000
4803011,Pincher Creek No. 9,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4804004,Special Area No. 2,2006,Cropland (Acres),Durum Wheat,Acres
4804004,Special Area No. 2,2011,Cropland (Acres),Durum Wheat,Acres,13873.00000
4804004,Special Area No. 2,2016,Cropland (Acres),Durum Wheat,Acres
4804004,Special Area No. 2,2021,Cropland (Acres),Durum Wheat,Acres,17324.00000
4804012,Special Area No. 3,2006,Cropland (Acres),Durum Wheat,Acres,49550.00000
4804012,Special Area No. 3,2011,Cropland (Acres),Durum Wheat,Acres,54979.00000
4804012,Special Area No. 3,2016,Cropland (Acres),Durum Wheat,Acres,123904.00000
4804012,Special Area No. 3,2021,Cropland (Acres),Durum Wheat,Acres,92185.00000
4804020,Special Area No. 4,2006,Cropland (Acres),Durum Wheat,Acres
4804020,Special Area No. 4,2011,Cropland (Acres),Durum Wheat,Acres,2002.00000
4804020,Special Area No. 4,2016,Cropland (Acres),Durum Wheat,Acres
4804020,Special Area No. 4,2021,Cropland (Acres),Durum Wheat,Acres,8510.00000
4805001,Vulcan County,2006,Cropland (Acres),Durum Wheat,Acres,60866.00000
4805001,Vulcan County,2011,Cropland (Acres),Durum Wheat,Acres,45519.00000
4805001,Vulcan County,2016,Cropland (Acres),Durum Wheat,Acres,122487.00000
4805001,Vulcan County,2021,Cropland (Acres),Durum Wheat,Acres,110444.00000
4806001,Foothills County,2006,Cropland (Acres),Durum Wheat,Acres
4806001,Foothills County,2011,Cropland (Acres),Durum Wheat,Acres,4243.00000
4806001,Foothills County,2016,Cropland (Acres),Durum Wheat,Acres,1995.00000
4806001,Foothills County,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4806014,Rocky View County,2006,Cropland (Acres),Durum Wheat,Acres,560.00000
4806014,Rocky View County,2011,Cropland (Acres),Durum Wheat,Acres,4102.00000
4806014,Rocky View County,2016,Cropland (Acres),Durum Wheat,Acres,3950.00000
4806014,Rocky View County,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4806016,Calgary,2006,Cropland (Acres),Durum Wheat,Acres,660.00000
4806016,Calgary,2011,Cropland (Acres),Durum Wheat,Acres,0.00000
4806016,Calgary,2016,Cropland (Acres),Durum Wheat,Acres
4806016,Calgary,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4806028,Mountain View County,2006,Cropland (Acres),Durum Wheat,Acres,710.00000
4806028,Mountain View County,2011,Cropland (Acres),Durum Wheat,Acres,1269.00000
4806028,Mountain View County,2016,Cropland (Acres),Durum Wheat,Acres,1488.00000
4806028,Mountain View County,2021,Cropland (Acres),Durum Wheat,Acres,7187.00000
4807001,Provost No. 52,2006,Cropland (Acres),Durum Wheat,Acres,7354.00000
4807001,Provost No. 52,2011,Cropland (Acres),Durum Wheat,Acres,2570.00000
4807001,Provost No. 52,2016,Cropland (Acres),Durum Wheat,Acres,5797.00000
4807001,Provost No. 52,2021,Cropland (Acres),Durum Wheat,Acres,0.00000
4819041,Smoky River No. 130,2006,Cropland (Acres),Durum Wheat,Acres
